證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比
8105,凌巨,"1,411,444",564,"19,642,380",14.15,14.15,13.70,14.05,0.00
8110,華東,"1,378,905",694,"17,486,879",13.05,13.05,12.50,12.70,42.33
8112,至上,"2,990,219","2,579","169,870,075",58.10,58.10,56.40,56.70,11.96
8112A,至上甲特,"42,123",24,"1,851,812",44.00,44.00,43.95,43.95,0.00
8114,振樺電,"709,806",958,"242,001,536",342.00,347.00,332.50,342.00,38.73
8131,福懋科,"643,972",490,"17,229,556",27.10,27.10,26.50,26.80,15.23
8150,南茂,"2,784,772","1,909","81,805,205",29.85,29.90,29.05,29.50,12.83
8162,微矽電子-創,"21,008",21,"818,420",40.25,40.25,38.00,39.50,32.92
8163,達方,"1,523,647","1,598","63,902,198",43.30,43.30,41.60,41.80,16.33
8201,無敵,"145,813",76,"2,044,292",14.00,14.25,14.00,14.05,0.00
8210,勤誠,"3,238,845","4,379","789,399,654",260.50,260.50,237.00,240.00,14.37
8213,志超,"464,960",740,"15,210,727",33.50,33.50,32.50,32.80,10.19
8215,明基材,"518,041",451,"14,491,286",28.50,28.60,27.65,28.20,47.80
8222,寶一,"409,016",299,"14,797,180",37.15,37.15,35.60,35.60,34.90
8249,菱光,"4,509,351","2,882","221,034,188",49.75,50.40,48.20,48.30,20.82
8261,富鼎,"906,045","1,749","72,993,041",82.50,82.60,79.40,80.40,21.38
8271,宇瞻,"380,677",449,"16,088,884",43.50,43.50,41.80,42.25,13.29
8341,日友,"187,550",466,"15,220,710",81.50,81.70,80.70,81.30,23.30
8367,建新國際,"191,836",127,"8,412,980",44.70,44.95,42.95,44.95,11.92
8374,羅昇,"1,994,997","2,011","239,141,977",124.00,124.00,118.50,118.50,846.43
8404,百和興業-KY,"1,573,433",958,"39,487,741",25.50,25.50,24.80,25.15,71.86
8411,福貞-KY,"91,164",113,"1,172,409",13.15,13.15,12.50,13.10,0.00
8422,可寧衛,"193,948",291,"34,571,114",178.50,179.00,178.00,178.50,18.97
8429,金麗-KY,"1,568,639",707,"15,178,787",9.86,9.86,9.55,9.71,485.50
8438,昶昕,"159,671",163,"4,729,104",31.60,31.60,28.80,29.30,13.44
8442,威宏-KY,"309,622",535,"28,433,623",94.60,95.00,90.10,92.30,8.94
